#,Name,MLBAMID,RazzballID,FangraphsID,NFBCID,Team,ESPN_POS,YAHOO_POS
399,Andrew Nardi,677053,677053,25942,11536,MIA,RP,RP
400,Andrew Navigato,685382,685382,sa3010703,,DET,2B,2B
401,Andrew Painter,691725,691725,sa3017880,11585,PHI,SP,SP
402,Andrew Perez,680970,680970,sa3006640,,CHW,RP,RP
403,Andrew Peters,687107,687107,sa3017259,,LAA,RP,RP
404,Andrew Pintar,801464,801464,sa3020715,,ARI,2B,2B
405,Andrew Politi,681555,681555,sa3007243,,BOS,RP,RP
406,Andrew Pratt,687920,687920,sa3010045,,WSH,C,C
407,Andrew Romine,461865,1159,1159,7985,FA,DH,SS
408,Andrew Saalfrank,685314,685314,sa3011219,,ARI,RP,RP
409,Andrew Schultz,669697,669697,sa3010782,,PHI,RP,RP
410,Andrew Shaps,656952,656952,sa3008430,,FA,OF,OF
411,Andrew Stevenson,664057,664057,17932,,MIN,OF,OF
412,Andrew Suarez,605498,605498,18300,9602,STL,RP,RP
413,Andrew Susac,572180,13132,13132,,FA,C,C
414,Andrew Taylor,800063,800063,sa3020873,,HOU,SP,SP
415,Andrew Vasquez,607755,607755,19482,10088,DET,RP,RP
416,Andrew Vaughn,683734,683734,26197,10788,CHW,1B/OF,1B/OF
417,Andrew Velazquez,623205,623205,14196,10099,LAA,SS,SS
418,Andrew Walling,681003,681003,sa3020319,,PHI,RP,RP
419,Andrew Wantz,681806,681806,24933,11233,LAA,RP,RP
420,Andrew Yerzy,647378,647378,sa917939,,CIN,C,C
421,Andrew Young,670370,670370,19521,,FA,2B,2B
422,Andrews Sosa,806237,806237,sa3019765,,HOU,C,C
423,Andri Leon,693710,693710,sa3018916,,DET,OF,OF
424,Andrick Nava,682774,682774,sa3010693,,PHI,C,C
425,Andruw Monasterio,655316,655316,19455,11797,MIL,2B/3B,2B/3B
426,Andruw Musett,808104,808104,sa3021175,,BOS,C,C
427,Andrws Cruz,696081,696081,sa3015734,,CHC,SS,SS
428,Andry Arias,678357,678357,sa3005735,,FA,OF,OF
429,Andry Lara,691251,691251,sa3014716,,WSH,SP,SP
430,Andy Acevedo,807005,807005,sa3021099,,WSH,OF,OF
431,Andy Atwood,664762,664762,sa3019577,,CHW,SS,SS
432,Andy Burns,542992,12779,12779,,FA,3B,3B
433,Andy Encarnacion,800287,800287,sa3018498,,ARI,OF,OF
434,Andy Garriola,696513,696513,sa3020458,,CHC,OF,OF
